date,type,description
2020-01-01,CLOSED,New Year's Day
2020-01-04,WEEKEND,Saturday
2020-01-05,WEEKEND,Sunday
2020-01-11,WEEKEND,Saturday
2020-01-12,WEEKEND,Sunday
2020-01-18,WEEKEND,Saturday
2020-01-19,WEEKEND,Sunday
2020-01-20,CLOSED,Martin Luther King Jr. Day
2020-01-25,WEEKEND,Saturday
2020-01-26,WEEKEND,Sunday
2020-02-01,WEEKEND,Saturday
2020-02-02,WEEKEND,Sunday
2020-02-08,WEEKEND,Saturday
2020-02-09,WEEKEND,Sunday
2020-02-15,WEEKEND,Saturday
2020-02-16,WEEKEND,Sunday
2020-02-17,CLOSED,Presidents Day
2020-02-22,WEEKEND,Saturday
2020-02-23,WEEKEND,Sunday
2020-02-29,WEEKEND,Saturday
2020-03-01,WEEKEND,Sunday
2020-03-07,WEEKEND,Saturday
2020-03-08,WEEKEND,Sunday
2020-03-14,WEEKEND,Saturday
2020-03-15,WEEKEND,Sunday
2020-03-21,WEEKEND,Saturday
2020-03-22,WEEKEND,Sunday
2020-03-28,WEEKEND,Saturday
2020-03-29,WEEKEND,Sunday
2020-04-04,WEEKEND,Saturday
2020-04-05,WEEKEND,Sunday
2020-04-10,CLOSED,Good Friday
2020-04-11,WEEKEND,Saturday
2020-04-12,WEEKEND,Sunday
2020-04-18,WEEKEND,Saturday
2020-04-19,WEEKEND,Sunday
2020-04-25,WEEKEND,Saturday
2020-04-26,WEEKEND,Sunday
2020-05-02,WEEKEND,Saturday
2020-05-03,WEEKEND,Sunday
2020-05-09,WEEKEND,Saturday
2020-05-10,WEEKEND,Sunday
2020-05-16,WEEKEND,Saturday
2020-05-17,WEEKEND,Sunday
2020-05-23,WEEKEND,Saturday
2020-05-24,WEEKEND,Sunday
2020-05-25,CLOSED,Memorial Day
2020-05-30,WEEKEND,Saturday
2020-05-31,WEEKEND,Sunday
2020-06-06,WEEKEND,Saturday
2020-06-07,WEEKEND,Sunday
2020-06-13,WEEKEND,Saturday
2020-06-14,WEEKEND,Sunday
2020-06-19,CLOSED,Juneteenth National Independence Day
2020-06-20,WEEKEND,Saturday
2020-06-21,WEEKEND,Sunday
2020-06-27,WEEKEND,Saturday
2020-06-28,WEEKEND,Sunday
2020-07-03,CLOSED,Independence Day
2020-07-04,WEEKEND,Saturday
2020-07-05,WEEKEND,Sunday
2020-07-11,WEEKEND,Saturday
2020-07-12,WEEKEND,Sunday
2020-07-18,WEEKEND,Saturday
2020-07-19,WEEKEND,Sunday
2020-07-25,WEEKEND,Saturday
2020-07-26,WEEKEND,Sunday
2020-08-01,WEEKEND,Saturday
2020-08-02,WEEKEND,Sunday
2020-08-08,WEEKEND,Saturday
2020-08-09,WEEKEND,Sunday
2020-08-15,WEEKEND,Saturday
2020-08-16,WEEKEND,Sunday
2020-08-22,WEEKEND,Saturday
2020-08-23,WEEKEND,Sunday
2020-08-29,WEEKEND,Saturday
2020-08-30,WEEKEND,Sunday
2020-09-05,WEEKEND,Saturday
2020-09-06,WEEKEND,Sunday
2020-09-07,CLOSED,Labor Day
2020-09-12,WEEKEND,Saturday
2020-09-13,WEEKEND,Sunday
2020-09-19,WEEKEND,Saturday
2020-09-20,WEEKEND,Sunday
2020-09-26,WEEKEND,Saturday
2020-09-27,WEEKEND,Sunday
2020-10-03,WEEKEND,Saturday
2020-10-04,WEEKEND,Sunday
2020-10-10,WEEKEND,Saturday
2020-10-11,WEEKEND,Sunday
2020-10-17,WEEKEND,Saturday
2020-10-18,WEEKEND,Sunday
2020-10-24,WEEKEND,Saturday
2020-10-25,WEEKEND,Sunday
2020-10-31,WEEKEND,Saturday
2020-11-01,WEEKEND,Sunday
2020-11-07,WEEKEND,Saturday
2020-11-08,WEEKEND,Sunday
2020-11-14,WEEKEND,Saturday
2020-11-15,WEEKEND,Sunday
2020-11-21,WEEKEND,Saturday
2020-11-22,WEEKEND,Sunday
2020-11-26,CLOSED,Thanksgiving Day
2020-11-27,EARLY_CLOSE,Day After Thanksgiving (Early Close)
2020-11-28,WEEKEND,Saturday
2020-11-29,WEEKEND,Sunday
2020-12-05,WEEKEND,Saturday
2020-12-06,WEEKEND,Sunday
2020-12-12,WEEKEND,Saturday
2020-12-13,WEEKEND,Sunday
2020-12-19,WEEKEND,Saturday
2020-12-20,WEEKEND,Sunday
2020-12-24,EARLY_CLOSE,Christmas Eve (Early Close)
2020-12-25,CLOSED,Christmas Day
2020-12-26,WEEKEND,Saturday
2020-12-27,WEEKEND,Sunday
2021-01-01,CLOSED,New Year's Day
2021-01-02,WEEKEND,Saturday
2021-01-03,WEEKEND,Sunday
2021-01-09,WEEKEND,Saturday
2021-01-10,WEEKEND,Sunday
2021-01-16,WEEKEND,Saturday
2021-01-17,WEEKEND,Sunday
2021-01-18,CLOSED,Martin Luther King Jr. Day
2021-01-23,WEEKEND,Saturday
2021-01-24,WEEKEND,Sunday
2021-01-30,WEEKEND,Saturday
2021-01-31,WEEKEND,Sunday
2021-02-06,WEEKEND,Saturday
2021-02-07,WEEKEND,Sunday
2021-02-13,WEEKEND,Saturday
2021-02-14,WEEKEND,Sunday
2021-02-15,CLOSED,Presidents Day
2021-02-20,WEEKEND,Saturday
2021-02-21,WEEKEND,Sunday
2021-02-27,WEEKEND,Saturday
2021-02-28,WEEKEND,Sunday
2021-03-06,WEEKEND,Saturday
2021-03-07,WEEKEND,Sunday
2021-03-13,WEEKEND,Saturday
2021-03-14,WEEKEND,Sunday
2021-03-20,WEEKEND,Saturday
2021-03-21,WEEKEND,Sunday
2021-03-27,WEEKEND,Saturday
2021-03-28,WEEKEND,Sunday
2021-04-02,CLOSED,Good Friday
2021-04-03,WEEKEND,Saturday
2021-04-04,WEEKEND,Sunday
2021-04-10,WEEKEND,Saturday
2021-04-11,WEEKEND,Sunday
2021-04-17,WEEKEND,Saturday
2021-04-18,WEEKEND,Sunday
2021-04-24,WEEKEND,Saturday
2021-04-25,WEEKEND,Sunday
2021-05-01,WEEKEND,Saturday
2021-05-02,WEEKEND,Sunday
2021-05-08,WEEKEND,Saturday
2021-05-09,WEEKEND,Sunday
2021-05-15,WEEKEND,Saturday
2021-05-16,WEEKEND,Sunday
2021-05-22,WEEKEND,Saturday
2021-05-23,WEEKEND,Sunday
2021-05-29,WEEKEND,Saturday
2021-05-30,WEEKEND,Sunday
2021-05-31,CLOSED,Memorial Day
2021-06-05,WEEKEND,Saturday
2021-06-06,WEEKEND,Sunday
2021-06-12,WEEKEND,Saturday
2021-06-13,WEEKEND,Sunday
2021-06-18,CLOSED,Juneteenth National Independence Day
2021-06-19,WEEKEND,Saturday
2021-06-20,WEEKEND,Sunday
2021-06-26,WEEKEND,Saturday
2021-06-27,WEEKEND,Sunday
2021-07-03,WEEKEND,Saturday
2021-07-04,WEEKEND,Sunday
2021-07-05,CLOSED,Independence Day
2021-07-10,WEEKEND,Saturday
2021-07-11,WEEKEND,Sunday
2021-07-17,WEEKEND,Saturday
2021-07-18,WEEKEND,Sunday
2021-07-24,WEEKEND,Saturday
2021-07-25,WEEKEND,Sunday
2021-07-31,WEEKEND,Saturday
2021-08-01,WEEKEND,Sunday
2021-08-07,WEEKEND,Saturday
2021-08-08,WEEKEND,Sunday
2021-08-14,WEEKEND,Saturday
2021-08-15,WEEKEND,Sunday
2021-08-21,WEEKEND,Saturday
2021-08-22,WEEKEND,Sunday
2021-08-28,WEEKEND,Saturday
2021-08-29,WEEKEND,Sunday
2021-09-04,WEEKEND,Saturday
2021-09-05,WEEKEND,Sunday
2021-09-06,CLOSED,Labor Day
2021-09-11,WEEKEND,Saturday
2021-09-12,WEEKEND,Sunday
2021-09-18,WEEKEND,Saturday
2021-09-19,WEEKEND,Sunday
2021-09-25,WEEKEND,Saturday
2021-09-26,WEEKEND,Sunday
2021-10-02,WEEKEND,Saturday
2021-10-03,WEEKEND,Sunday
2021-10-09,WEEKEND,Saturday
2021-10-10,WEEKEND,Sunday
2021-10-16,WEEKEND,Saturday
2021-10-17,WEEKEND,Sunday
2021-10-23,WEEKEND,Saturday
2021-10-24,WEEKEND,Sunday
2021-10-30,WEEKEND,Saturday
2021-10-31,WEEKEND,Sunday
2021-11-06,WEEKEND,Saturday
2021-11-07,WEEKEND,Sunday
2021-11-13,WEEKEND,Saturday
2021-11-14,WEEKEND,Sunday
2021-11-20,WEEKEND,Saturday
2021-11-21,WEEKEND,Sunday
2021-11-25,CLOSED,Thanksgiving Day
2021-11-26,EARLY_CLOSE,Day After Thanksgiving (Early Close)
2021-11-27,WEEKEND,Saturday
2021-11-28,WEEKEND,Sunday
2021-12-04,WEEKEND,Saturday
2021-12-05,WEEKEND,Sunday
2021-12-11,WEEKEND,Saturday
2021-12-12,WEEKEND,Sunday
2021-12-18,WEEKEND,Saturday
2021-12-19,WEEKEND,Sunday
2021-12-24,CLOSED,Christmas Day
2021-12-24,EARLY_CLOSE,Christmas Eve (Early Close)
2021-12-25,WEEKEND,Saturday
2021-12-26,WEEKEND,Sunday
2021-12-31,CLOSED,New Year's Day
2022-01-01,WEEKEND,Saturday
2022-01-02,WEEKEND,Sunday
2022-01-08,WEEKEND,Saturday
2022-01-09,WEEKEND,Sunday
2022-01-15,WEEKEND,Saturday
2022-01-16,WEEKEND,Sunday
2022-01-17,CLOSED,Martin Luther King Jr. Day
2022-01-22,WEEKEND,Saturday
2022-01-23,WEEKEND,Sunday
2022-01-29,WEEKEND,Saturday
2022-01-30,WEEKEND,Sunday
2022-02-05,WEEKEND,Saturday
2022-02-06,WEEKEND,Sunday
2022-02-12,WEEKEND,Saturday
2022-02-13,WEEKEND,Sunday
2022-02-19,WEEKEND,Saturday
2022-02-20,WEEKEND,Sunday
2022-02-21,CLOSED,Presidents Day
2022-02-26,WEEKEND,Saturday
2022-02-27,WEEKEND,Sunday
2022-03-05,WEEKEND,Saturday
2022-03-06,WEEKEND,Sunday
2022-03-12,WEEKEND,Saturday
2022-03-13,WEEKEND,Sunday
2022-03-19,WEEKEND,Saturday
2022-03-20,WEEKEND,Sunday
2022-03-26,WEEKEND,Saturday
2022-03-27,WEEKEND,Sunday
2022-04-02,WEEKEND,Saturday
2022-04-03,WEEKEND,Sunday
2022-04-09,WEEKEND,Saturday
2022-04-10,WEEKEND,Sunday
2022-04-15,CLOSED,Good Friday
2022-04-16,WEEKEND,Saturday
2022-04-17,WEEKEND,Sunday
2022-04-23,WEEKEND,Saturday
2022-04-24,WEEKEND,Sunday
2022-04-30,WEEKEND,Saturday
2022-05-01,WEEKEND,Sunday
2022-05-07,WEEKEND,Saturday
2022-05-08,WEEKEND,Sunday
2022-05-14,WEEKEND,Saturday
2022-05-15,WEEKEND,Sunday
2022-05-21,WEEKEND,Saturday
2022-05-22,WEEKEND,Sunday
2022-05-28,WEEKEND,Saturday
2022-05-29,WEEKEND,Sunday
2022-05-30,CLOSED,Memorial Day
