date,type,description,key,source_module,observed_from,close_time,status
2000-01-03,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,2000-01-01,,CONFIRMED
2000-04-21,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2000-05-22,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2000-07-03,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,2000-07-01,,CONFIRMED
2000-08-07,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2000-09-04,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2000-10-09,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2000-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2000-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2001-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2001-04-13,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2001-05-21,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2001-07-02,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,2001-07-01,,CONFIRMED
2001-08-06,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2001-09-03,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2001-10-08,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2001-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2001-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2002-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2002-03-29,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2002-05-20,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2002-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2002-08-05,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2002-09-02,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2002-10-14,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2002-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2002-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2003-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2003-04-18,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2003-05-19,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2003-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2003-08-04,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2003-09-01,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2003-10-13,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2003-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2003-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2004-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2004-04-09,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2004-05-24,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2004-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2004-08-02,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2004-09-06,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2004-10-11,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2004-12-27,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,2004-12-25,,CONFIRMED
2004-12-28,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,2004-12-26,,CONFIRMED
2005-01-03,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,2005-01-01,,CONFIRMED
2005-03-25,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2005-05-23,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2005-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2005-08-01,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2005-09-05,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2005-10-10,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2005-12-26,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,2005-12-25,,CONFIRMED
2005-12-27,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,2005-12-26,,CONFIRMED
2006-01-02,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,2006-01-01,,CONFIRMED
2006-04-14,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2006-05-22,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2006-07-03,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,2006-07-01,,CONFIRMED
2006-08-07,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2006-09-04,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2006-10-09,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2006-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2006-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2007-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2007-04-06,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2007-05-21,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2007-07-02,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,2007-07-01,,CONFIRMED
2007-08-06,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2007-09-03,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2007-10-08,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2007-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2007-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2008-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2008-02-18,CLOSED,Family Day,ca_family_day,module:ca_family_day,,,CONFIRMED
2008-03-21,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2008-05-19,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2008-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2008-08-04,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2008-09-01,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2008-10-13,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2008-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2008-12-26,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,,,CONFIRMED
2009-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2009-02-16,CLOSED,Family Day,ca_family_day,module:ca_family_day,,,CONFIRMED
2009-04-10,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2009-05-18,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2009-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2009-08-03,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2009-09-07,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2009-10-12,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2009-12-25,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,,,CONFIRMED
2009-12-28,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,2009-12-26,,CONFIRMED
2010-01-01,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,,,CONFIRMED
2010-02-15,CLOSED,Family Day,ca_family_day,module:ca_family_day,,,CONFIRMED
2010-04-02,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2010-05-24,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2010-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2010-08-02,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2010-09-06,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2010-10-11,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2010-12-27,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,2010-12-25,,CONFIRMED
2010-12-28,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,2010-12-26,,CONFIRMED
2011-01-03,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,2011-01-01,,CONFIRMED
2011-02-21,CLOSED,Family Day,ca_family_day,module:ca_family_day,,,CONFIRMED
2011-04-22,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2011-05-23,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2011-07-01,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,,,CONFIRMED
2011-08-01,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
2011-09-05,CLOSED,Labour Day,ca_labour_day,module:ca_labour_day,,,CONFIRMED
2011-10-10,CLOSED,Thanksgiving Day,ca_thanksgiving,module:ca_thanksgiving,,,CONFIRMED
2011-12-26,CLOSED,Christmas Day,ca_christmas,module:ca_christmas,2011-12-25,,CONFIRMED
2011-12-27,CLOSED,Boxing Day,ca_boxing_day,module:ca_boxing_day,2011-12-26,,CONFIRMED
2012-01-02,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,2012-01-01,,CONFIRMED
2012-02-20,CLOSED,Family Day,ca_family_day,module:ca_family_day,,,CONFIRMED
2012-04-06,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2012-05-21,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2012-07-02,CLOSED,Canada Day,ca_canada_day,module:ca_canada_day,2012-07-01,,CONFIRMED
2012-08-06,CLOSED,Civic Holiday,ca_civic_holiday,module:ca_civic_holiday,,,CONFIRMED
