date,type,description,key,source_module,observed_from,close_time,status
2026-01-01,CLOSED,New Year's Day,fedwire_new_years_day,module:us_fedwire_holidays,,,CONFIRMED
2026-01-03,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-01-04,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-01-10,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-01-11,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-01-17,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-01-18,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-01-19,CLOSED,Martin Luther King Jr. Day,fedwire_martin_luther_king_jr_day,module:us_fedwire_holidays,,,CONFIRMED
2026-01-24,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-01-25,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-01-31,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-02-01,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-02-07,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-02-08,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-02-14,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-02-15,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-02-16,CLOSED,Washington's Birthday (Presidents Day),fedwire_washingtons_birthday,module:us_fedwire_holidays,,,CONFIRMED
2026-02-21,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-02-22,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-02-28,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-03-01,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-03-07,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-03-08,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-03-14,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-03-15,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-03-21,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-03-22,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-03-28,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-03-29,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2026-04-04,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2026-04-05,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
