date,type,description
2020-01-01,CLOSED,New Year's Day
2020-05-25,CLOSED,Memorial Day
2020-07-04,CLOSED,Independence Day
2020-09-07,CLOSED,Labor Day
2020-11-26,CLOSED,Thanksgiving Day
2020-12-25,CLOSED,Christmas Day
2021-01-01,CLOSED,New Year's Day
2021-05-31,CLOSED,Memorial Day
2021-07-04,CLOSED,Independence Day
2021-09-06,CLOSED,Labor Day
2021-11-25,CLOSED,Thanksgiving Day
2021-12-25,CLOSED,Christmas Day
2022-01-01,CLOSED,New Year's Day
2022-05-30,CLOSED,Memorial Day
2022-07-04,CLOSED,Independence Day
2022-09-05,CLOSED,Labor Day
2022-11-24,CLOSED,Thanksgiving Day
2022-12-25,CLOSED,Christmas Day
2023-01-01,CLOSED,New Year's Day
2023-05-29,CLOSED,Memorial Day
2023-07-04,CLOSED,Independence Day
2023-09-04,CLOSED,Labor Day
2023-11-23,CLOSED,Thanksgiving Day
2023-12-25,CLOSED,Christmas Day
2024-01-01,CLOSED,New Year's Day
2024-05-27,CLOSED,Memorial Day
2024-07-04,CLOSED,Independence Day
2024-09-02,CLOSED,Labor Day
2024-11-28,CLOSED,Thanksgiving Day
2024-12-25,CLOSED,Christmas Day
2025-01-01,CLOSED,New Year's Day
2025-05-26,CLOSED,Memorial Day
2025-07-04,CLOSED,Independence Day
2025-09-01,CLOSED,Labor Day
2025-11-27,CLOSED,Thanksgiving Day
2025-12-25,CLOSED,Christmas Day
2026-01-01,CLOSED,New Year's Day
2026-05-25,CLOSED,Memorial Day
2026-07-04,CLOSED,Independence Day
2026-09-07,CLOSED,Labor Day
2026-11-26,CLOSED,Thanksgiving Day
2026-12-25,CLOSED,Christmas Day
2027-01-01,CLOSED,New Year's Day
2027-05-31,CLOSED,Memorial Day
2027-07-04,CLOSED,Independence Day
2027-09-06,CLOSED,Labor Day
2027-11-25,CLOSED,Thanksgiving Day
2027-12-25,CLOSED,Christmas Day
2028-01-01,CLOSED,New Year's Day
2028-05-29,CLOSED,Memorial Day
2028-07-04,CLOSED,Independence Day
2028-09-04,CLOSED,Labor Day
2028-11-23,CLOSED,Thanksgiving Day
2028-12-25,CLOSED,Christmas Day
2029-01-01,CLOSED,New Year's Day
2029-05-28,CLOSED,Memorial Day
2029-07-04,CLOSED,Independence Day
2029-09-03,CLOSED,Labor Day
2029-11-22,CLOSED,Thanksgiving Day
2029-12-25,CLOSED,Christmas Day
2030-01-01,CLOSED,New Year's Day
2030-05-27,CLOSED,Memorial Day
2030-07-04,CLOSED,Independence Day
2030-09-02,CLOSED,Labor Day
2030-11-28,CLOSED,Thanksgiving Day
2030-12-25,CLOSED,Christmas Day
